"Unicode","character","UTF-8","name","utf_link","download_link","supply","limit_mint","remaining","deploy","sales","holders"
"U+1F35A","🍚","f0 9f 8d 9a","COOKED RICE","%F0%9F%8D%9A","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%9A",1,1,0,7361756,0,1
"U+1F35B","🍛","f0 9f 8d 9b","CURRY AND RICE","%F0%9F%8D%9B","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%9B",210,210,0,8046080,0,1
"U+1F35C","🍜","f0 9f 8d 9c","STEAMING BOWL","%F0%9F%8D%9C","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%9C",420,1,420,3055810,0,0
"U+1F35D","🍝","f0 9f 8d 9d","SPAGHETTI","%F0%9F%8D%9D","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%9D",10000,10,10000,3870092,0,0
"U+1F35E","🍞","f0 9f 8d 9e","BREAD","%F0%9F%8D%9E","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%9E",21000000,10000,21000000,464427,0,0
"U+1F35F","🍟","f0 9f 8d 9f","FRENCH FRIES","%F0%9F%8D%9F","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%9F",1000,1,984,445612,0,5
"U+1F360","🍠","f0 9f 8d a0","ROASTED SWEET POTATO","%F0%9F%8D%A0","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A0",100000,100,100000,2460083,0,0
"U+1F361","🍡","f0 9f 8d a1","DANGO","%F0%9F%8D%A1","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A1",777,1,777,5837711,0,0
"U+1F362","🍢","f0 9f 8d a2","ODEN","%F0%9F%8D%A2","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A2",NA,NA,NA,NA,NA,NA
"U+1F363","🍣","f0 9f 8d a3","SUSHI","%F0%9F%8D%A3","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A3",999,1,968,986491,0,2
"U+1F364","🍤","f0 9f 8d a4","FRIED SHRIMP","%F0%9F%8D%A4","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A4",3000,1,3000,5837609,0,0
"U+1F365","🍥","f0 9f 8d a5","FISH CAKE WITH SWIRL DESIGN","%F0%9F%8D%A5","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A5",8888,8888,0,3765456,0,1
"U+1F366","🍦","f0 9f 8d a6","SOFT ICE CREAM","%F0%9F%8D%A6","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A6",10000,10,9920,464425,0,2
