Unicode	character	UTF-8	name
U+1F489	💉	f0 9f 92 89	SYRINGE
U+1F48A	💊	f0 9f 92 8a	PILL
U+1F48B	💋	f0 9f 92 8b	KISS MARK
U+1F48C	💌	f0 9f 92 8c	LOVE LETTER
U+1F48D	💍	f0 9f 92 8d	RING
U+1F48E	💎	f0 9f 92 8e	GEM STONE
U+1F48F	💏	f0 9f 92 8f	KISS
U+1F490	💐	f0 9f 92 90	BOUQUET
U+1F491	💑	f0 9f 92 91	COUPLE WITH HEART
U+1F492	💒	f0 9f 92 92	WEDDING
U+1F493	💓	f0 9f 92 93	BEATING HEART
U+1F494	💔	f0 9f 92 94	BROKEN HEART
U+1F495	💕	f0 9f 92 95	TWO HEARTS
U+1F496	💖	f0 9f 92 96	SPARKLING HEART
U+1F497	💗	f0 9f 92 97	GROWING HEART
U+1F498	💘	f0 9f 92 98	HEART WITH ARROW
U+1F499	💙	f0 9f 92 99	BLUE HEART
U+1F49A	💚	f0 9f 92 9a	GREEN HEART
U+1F49B	💛	f0 9f 92 9b	YELLOW HEART
U+1F49C	💜	f0 9f 92 9c	PURPLE HEART
U+1F49D	💝	f0 9f 92 9d	HEART WITH RIBBON
U+1F49E	💞	f0 9f 92 9e	REVOLVING HEARTS
U+1F49F	💟	f0 9f 92 9f	HEART DECORATION
U+1F4A0	💠	f0 9f 92 a0	DIAMOND SHAPE WITH A DOT INSIDE
U+1F4A1	💡	f0 9f 92 a1	ELECTRIC LIGHT BULB
U+1F4A2	💢	f0 9f 92 a2	ANGER SYMBOL
U+1F4A3	💣	f0 9f 92 a3	BOMB
U+1F4A4	💤	f0 9f 92 a4	SLEEPING SYMBOL
U+1F4A5	💥	f0 9f 92 a5	COLLISION SYMBOL
U+1F4A6	💦	f0 9f 92 a6	SPLASHING SWEAT SYMBOL
U+1F4A7	💧	f0 9f 92 a7	DROPLET
U+1F4A8	💨	f0 9f 92 a8	DASH SYMBOL
U+1F4A9	💩	f0 9f 92 a9	PILE OF POO
U+1F4AA	💪	f0 9f 92 aa	FLEXED BICEPS
U+1F4AB	💫	f0 9f 92 ab	DIZZY SYMBOL
U+1F4AC	💬	f0 9f 92 ac	SPEECH BALLOON
U+1F4AD	💭	f0 9f 92 ad	THOUGHT BALLOON
U+1F4AE	💮	f0 9f 92 ae	WHITE FLOWER
U+1F4AF	💯	f0 9f 92 af	HUNDRED POINTS SYMBOL
U+1F4B0	💰	f0 9f 92 b0	MONEY BAG
U+1F4B1	💱	f0 9f 92 b1	CURRENCY EXCHANGE
U+1F4B2	💲	f0 9f 92 b2	HEAVY DOLLAR SIGN
U+1F4B3	💳	f0 9f 92 b3	CREDIT CARD
U+1F4B4	💴	f0 9f 92 b4	BANKNOTE WITH YEN SIGN
