character	Unicode	BORRAR1	BORRAR2	UTF-8	BORRAR3	name	
🎮	U+1F3AE	&#x1F3AE;	&#127918;	F0 9F 8E AE	\u1F3AE	Video Game
🎯	U+1F3AF	&#x1F3AF;	&#127919;	F0 9F 8E AF	\u1F3AF	Direct Hit
🎰	U+1F3B0	&#x1F3B0;	&#127920;	F0 9F 8E B0	\u1F3B0	Slot Machine
🎱	U+1F3B1	&#x1F3B1;	&#127921;	F0 9F 8E B1	\u1F3B1	Billiards
🎲	U+1F3B2	&#x1F3B2;	&#127922;	F0 9F 8E B2	\u1F3B2	Game Die
🎳	U+1F3B3	&#x1F3B3;	&#127923;	F0 9F 8E B3	\u1F3B3	Bowling
🎴	U+1F3B4	&#x1F3B4;	&#127924;	F0 9F 8E B4	\u1F3B4	Flower Playing Cards
🎵	U+1F3B5	&#x1F3B5;	&#127925;	F0 9F 8E B5	\u1F3B5	Musical Note
🎶	U+1F3B6	&#x1F3B6;	&#127926;	F0 9F 8E B6	\u1F3B6	Multiple Musical Notes
🎷	U+1F3B7	&#x1F3B7;	&#127927;	F0 9F 8E B7	\u1F3B7	Saxophone
🎸	U+1F3B8	&#x1F3B8;	&#127928;	F0 9F 8E B8	\u1F3B8	Guitar
🎹	U+1F3B9	&#x1F3B9;	&#127929;	F0 9F 8E B9	\u1F3B9	Musical Keyboard
🎺	U+1F3BA	&#x1F3BA;	&#127930;	F0 9F 8E BA	\u1F3BA	Trumpet
🎻	U+1F3BB	&#x1F3BB;	&#127931;	F0 9F 8E BB	\u1F3BB	Violin
🎼	U+1F3BC	&#x1F3BC;	&#127932;	F0 9F 8E BC	\u1F3BC	Musical Score
🎽	U+1F3BD	&#x1F3BD;	&#127933;	F0 9F 8E BD	\u1F3BD	Running Shirt With Sash
🎾	U+1F3BE	&#x1F3BE;	&#127934;	F0 9F 8E BE	\u1F3BE	Tennis Racquet And Ball
🎿	U+1F3BF	&#x1F3BF;	&#127935;	F0 9F 8E BF	\u1F3BF	Ski And Ski Boot
🏀	U+1F3C0	&#x1F3C0;	&#127936;	F0 9F 8F 80	\u1F3C0	Basketball And Hoop
🏁	U+1F3C1	&#x1F3C1;	&#127937;	F0 9F 8F 81	\u1F3C1	Chequered Flag
🏂	U+1F3C2	&#x1F3C2;	&#127938;	F0 9F 8F 82	\u1F3C2	Snowboarder
🏃	U+1F3C3	&#x1F3C3;	&#127939;	F0 9F 8F 83	\u1F3C3	Runner
🏄	U+1F3C4	&#x1F3C4;	&#127940;	F0 9F 8F 84	\u1F3C4	Surfer
🏆	U+1F3C6	&#x1F3C6;	&#127942;	F0 9F 8F 86	\u1F3C6	Trophy
🏇	U+1F3C7	&#x1F3C7;	&#127943;	F0 9F 8F 87	\u1F3C7	Horse Racing
🏈	U+1F3C8	&#x1F3C8;	&#127944;	F0 9F 8F 88	\u1F3C8	American Football
🏉	U+1F3C9	&#x1F3C9;	&#127945;	F0 9F 8F 89	\u1F3C9	Rugby Football
🏊	U+1F3CA	&#x1F3CA;	&#127946;	F0 9F 8F 8A	\u1F3CA	Swimmer
🏠	U+1F3E0	&#x1F3E0;	&#127968;	F0 9F 8F A0	\u1F3E0	House Building
🏡	U+1F3E1	&#x1F3E1;	&#127969;	F0 9F 8F A1	\u1F3E1	House With Garden
🏢	U+1F3E2	&#x1F3E2;	&#127970;	F0 9F 8F A2	\u1F3E2	Office Building
🏣	U+1F3E3	&#x1F3E3;	&#127971;	F0 9F 8F A3	\u1F3E3	Japanese Post Office
🏤	U+1F3E4	&#x1F3E4;	&#127972;	F0 9F 8F A4	\u1F3E4	European Post Office
🏥	U+1F3E5	&#x1F3E5;	&#127973;	F0 9F 8F A5	\u1F3E5	Hospital
🏦	U+1F3E6	&#x1F3E6;	&#127974;	F0 9F 8F A6	\u1F3E6	Bank
🏧	U+1F3E7	&#x1F3E7;	&#127975;	F0 9F 8F A7	\u1F3E7	Automated Teller Machine
🏨	U+1F3E8	&#x1F3E8;	&#127976;	F0 9F 8F A8	\u1F3E8	Hotel
🏩	U+1F3E9	&#x1F3E9;	&#127977;	F0 9F 8F A9	\u1F3E9	Love Hotel
🏪	U+1F3EA	&#x1F3EA;	&#127978;	F0 9F 8F AA	\u1F3EA	Convenience Store
🏫	U+1F3EB	&#x1F3EB;	&#127979;	F0 9F 8F AB	\u1F3EB	School
🏬	U+1F3EC	&#x1F3EC;	&#127980;	F0 9F 8F AC	\u1F3EC	Department Store
🏭	U+1F3ED	&#x1F3ED;	&#127981;	F0 9F 8F AD	\u1F3ED	Factory
🏮	U+1F3EE	&#x1F3EE;	&#127982;	F0 9F 8F AE	\u1F3EE	Izakaya Lantern
🏯	U+1F3EF	&#x1F3EF;	&#127983;	F0 9F 8F AF	\u1F3EF	Japanese Castle
🏰	U+1F3F0	&#x1F3F0;	&#127984;	F0 9F 8F B0	\u1F3F0	European Castle
🐀	U+1F400	&#x1F400;	&#128000;	F0 9F 90 80	\u1F400	Rat
🐁	U+1F401	&#x1F401;	&#128001;	F0 9F 90 81	\u1F401	Mouse
🐂	U+1F402	&#x1F402;	&#128002;	F0 9F 90 82	\u1F402	Ox
🐃	U+1F403	&#x1F403;	&#128003;	F0 9F 90 83	\u1F403	Water Buffalo
🐄	U+1F404	&#x1F404;	&#128004;	F0 9F 90 84	\u1F404	Cow
🐅	U+1F405	&#x1F405;	&#128005;	F0 9F 90 85	\u1F405	Tiger
🐆	U+1F406	&#x1F406;	&#128006;	F0 9F 90 86	\u1F406	Leopard
🐇	U+1F407	&#x1F407;	&#128007;	F0 9F 90 87	\u1F407	Rabbit
🐈	U+1F408	&#x1F408;	&#128008;	F0 9F 90 88	\u1F408	Cat
🐉	U+1F409	&#x1F409;	&#128009;	F0 9F 90 89	\u1F409	Dragon
🐊	U+1F40A	&#x1F40A;	&#128010;	F0 9F 90 8A	\u1F40A	Crocodile
🐋	U+1F40B	&#x1F40B;	&#128011;	F0 9F 90 8B	\u1F40B	Whale
🐌	U+1F40C	&#x1F40C;	&#128012;	F0 9F 90 8C	\u1F40C	Snail
🐍	U+1F40D	&#x1F40D;	&#128013;	F0 9F 90 8D	\u1F40D	Snake
🐎	U+1F40E	&#x1F40E;	&#128014;	F0 9F 90 8E	\u1F40E	Horse
🐏	U+1F40F	&#x1F40F;	&#128015;	F0 9F 90 8F	\u1F40F	Ram
🐐	U+1F410	&#x1F410;	&#128016;	F0 9F 90 90	\u1F410	Goat
🐑	U+1F411	&#x1F411;	&#128017;	F0 9F 90 91	\u1F411	Sheep
🐒	U+1F412	&#x1F412;	&#128018;	F0 9F 90 92	\u1F412	Monkey
🐓	U+1F413	&#x1F413;	&#128019;	F0 9F 90 93	\u1F413	Rooster
🐔	U+1F414	&#x1F414;	&#128020;	F0 9F 90 94	\u1F414	Chicken
🐕	U+1F415	&#x1F415;	&#128021;	F0 9F 90 95	\u1F415	Dog
